"WorkbookRow","Year","TeamContext","PlayerName","Cost","SourceDate","SourceUrl","SameYearNameCandidates","SameArticleSameCostCandidates","SameArticleOtherCostCandidates","ReviewStatus"
"138","1985","삼성","김시진","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","1","0","0","CandidateOnly_NoAutomaticMerge"
"139","2004","삼성","배영수","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","1","0","0","CandidateOnly_NoAutomaticMerge"
"140","1982","삼성","이선희","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"141","2010","삼성","장원삼","7","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","1","0","0","CandidateOnly_NoAutomaticMerge"
"142","1990","삼성","김상엽","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"143","2009","삼성","권혁","7","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","1","0","0","CandidateOnly_NoAutomaticMerge"
"144","2012","삼성","안지만","7","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"145","1983","삼성","권영호","5","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"146","1999","삼성","임창용","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","1","0","0","CandidateOnly_NoAutomaticMerge"
"147","2011","삼성","오승환","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"148","1994","KIA","조계현","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"149","2004","KIA","리오스","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"150","2011","KIA","윤석민","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"151","1996","KIA","이대진","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"152","1984","KIA","이상윤","7","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"153","1997","KIA","임창용","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","1","0","0","CandidateOnly_NoAutomaticMerge"
"154","2000","KIA","오봉옥","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"155","2003","KIA","신용운","7","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","1","0","0","CandidateOnly_NoAutomaticMerge"
"156","1988","KIA","김정수","4","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"157","2008","KIA","한기주","7","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"158","1993","KIA","선동열","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"159","2010","SK","김광현","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"160","2013","SK","세든","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"161","2007","SK","레이번","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"162","2010","SK","카도쿠라","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"163","2001","SK","이승호","7","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"164","1997","SK","김현욱","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"165","2012","SK","박희수","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"166","2011","SK","정우람","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"167","2013","SK","임경완","3","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"168","2006","SK","정대현","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"169","1991","SK","조규제","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
"170","1984","롯데","최동원","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","1","0","0","CandidateOnly_NoAutomaticMerge"
"171","2013","롯데","유먼","8","2013-11-15","https://www.inven.co.kr/webzine/news/?news=107123","0","0","0","CandidateOnly_NoAutomaticMerge"
